State_Name,Year,Active_Listings
NH,2019,6501.212121212122
NH,2020,4630.75
NH,2021,2472.5757575757575
NH,2022,2162.163636363636
NH,2023,1918.7636363636364
NH,2024,2240.207575757576
NJ,2018,8657.699999999999
NJ,2019,8001.015151515151
NJ,2020,5927.25
NJ,2021,4410.787878787879
NJ,2022,3602.8560606060605
NJ,2023,2848.060606060606
NJ,2024,3084.0030303030303
NM,2018,10638.324999999999
NM,2019,9287.959343434344
NM,2020,7222.901515151515
NM,2021,5869.1977994228
NM,2022,5224.588888888889
NM,2023,5102.235858585858
NM,2024,6083.483838383839
NV,2018,16123.002777777778
NV,2019,18760.989393939395
NV,2020,15162.769696969697
NV,2021,11272.441666666666
NV,2022,13238.742424242424
NV,2023,11523.229797979799
NV,2024,11840.264393939393
NY,2018,112672.66666666667
NY,2019,111610.26616161616
NY,2020,93976.7303030303
NY,2021,81503.71161616161
NY,2022,69390.79393939395
NY,2023,57781.270707070704
NY,2024,55702.13787878788
OH,2018,53442.84126984127
OH,2019,49091.12777777778
OH,2020,38173.07997835498
OH,2021,30410.295454545456
OH,2022,28804.00909090909
OH,2023,25716.762121212123
OH,2024,27073.547474747476
OK,2018,20332.922222222223
OK,2019,17589.42388167388
OK,2020,13898.326262626264
OK,2021,11360.210101010101
OK,2022,11624.884848484848
OK,2023,12452.687012987013
OK,2024,14135.193542568542
OR,2018,23094.241666666665
OR,2019,21187.87424242424
OR,2020,16223.257575757576
OR,2021,13188.398484848485
OR,2022,14213.137878787878
OR,2023,13520.409595959596
OR,2024,14913.88383838384
PA,2018,66730.47777777778
PA,2019,59672.08686868687
PA,2020,44720.08181818182
PA,2021,37481.54617604618
PA,2022,34027.30353535354
PA,2023,29758.325757575756
PA,2024,30891.829292929295
RI,2018,7062.9
RI,2019,6699.75
RI,2020,5076.666666666667
RI,2021,3441.75
RI,2022,2951.8333333333335
RI,2023,2351.4166666666665
RI,2024,2578.75
SC,2018,33017.718253968254
SC,2019,32303.69653679654
SC,2020,26549.383838383837
SC,2021,16229.26590909091
SC,2022,14980.521212121212
SC,2023,16780.55854978355
SC,2024,22047.96616161616
SD,2018,3670.7083333333335
SD,2019,3521.3164502164504
SD,2020,2928.7994227994227
SD,2021,2055.630303030303
SD,2022,1834.7858585858585
SD,2023,1828.456313131313
SD,2024,2330.9752525252525
TN,2018,33778.84246031746
TN,2019,32615.97525252525
TN,2020,26247.893686868687
TN,2021,20536.072727272727
TN,2022,22530.919696969697
TN,2023,23445.16406926407
TN,2024,27744.435353535355
TX,2018,116992.47023809524
TX,2019,119429.3170995671
TX,2020,102698.11457431458
TX,2021,79920.99823232324
TX,2022,82535.41414141415
TX,2023,94917.8831890332
TX,2024,114746.92676767676
UT,2018,12064.577777777777
UT,2019,12858.24696969697
UT,2020,9727.108585858585
UT,2021,8199.96515151515
UT,2022,10535.064393939394
UT,2023,10487.70202020202
UT,2024,10827.242424242424
VA,2018,50253.25555555555
VA,2019,44193.76515151515
VA,2020,34776.48484848485
VA,2021,31361.565151515148
VA,2022,26593.439393939396
VA,2023,21773.64267676768
VA,2024,24296.931818181816
VT,2018,2764.6666666666665
VT,2019,2844.9166666666665
VT,2020,2128.333333333333
VT,2021,1107.7772727272727
VT,2022,847.8787878787879
VT,2023,728.8666666666667
VT,2024,964.7878787878788
WA,2018,24200.12222222222
WA,2019,22021.262121212123
WA,2020,16592.04696969697
WA,2021,15336.075757575758
WA,2022,16989.803030303032
WA,2023,14620.995454545455
WA,2024,16400.96363636364
WI,2018,21802.366666666665
WI,2019,21216.280303030304
WI,2020,17713.08787878788
WI,2021,17192.21717171717
WI,2022,14874.892424242424
WI,2023,11885.030303030304
WI,2024,11931.993939393938
WV,2018,4633.455555555555
WV,2019,4185.069696969696
WV,2020,3494.219696969697
WV,2021,2796.1969696969695
WV,2022,2456.6583333333333
WV,2023,2000.4896464646465
WV,2024,1927.7621212121212
WY,2018,3366.3361111111108
WY,2019,2818.528787878788
WY,2020,2357.069696969697
