State_Name,Year,Median_Rent_Price
NH,2024,1812.804166153057
NJ,2018,1402.1813564307686
NJ,2019,1442.5131630992869
NJ,2020,1507.5609061766945
NJ,2021,1675.7767686611178
NJ,2022,1920.3221232351293
NJ,2023,1895.4501372492152
NJ,2024,1983.3875624239906
NM,2018,1025.174112807441
NM,2019,1091.840048157077
NM,2020,1146.168135413354
NM,2021,1281.8958406740128
NM,2022,1293.7121035454368
NM,2023,1275.7925239075246
NM,2024,1345.2454311199942
NV,2018,1254.741731786182
NV,2019,1331.3674685618626
NV,2020,1388.6958814391382
NV,2021,1581.8682090284374
NV,2022,1613.4073094478701
NV,2023,1714.5820845822163
NV,2024,1731.3006007462984
NY,2018,1210.8436950575378
NY,2019,1293.3971558895857
NY,2020,1352.5071954979219
NY,2021,1415.7563928361021
NY,2022,1568.9825697296849
NY,2023,1606.0144047181507
NY,2024,1572.4644477931092
OH,2018,799.4034428906648
OH,2019,829.4787531034666
OH,2020,866.9724153040085
OH,2021,935.1346176483512
OH,2022,998.7859151953129
OH,2023,1011.5449990857562
OH,2024,1065.3790646949703
OK,2018,846.471724352046
OK,2019,869.8053313411691
OK,2020,908.4008740434253
OK,2021,982.9378717976388
OK,2022,995.5112228778
OK,2023,1020.273011655904
OK,2024,1112.5505251881273
OR,2018,1259.600923855053
OR,2019,1318.5808051265915
OR,2020,1378.190042902428
OR,2021,1491.601092942193
OR,2022,1535.2080939366047
OR,2023,1568.612796477791
OR,2024,1577.2965028768062
PA,2018,919.7215673269264
PA,2019,984.812711052824
PA,2020,1030.5202826884904
PA,2021,1119.020369323024
PA,2022,1187.0983642313652
PA,2023,1212.6517783067252
PA,2024,1251.832340307269
RI,2018,1234.1374667115613
RI,2019,1297.6503779434984
RI,2020,1369.8233127867263
RI,2021,1521.607234852707
RI,2022,1699.901627951139
RI,2023,1824.539605366814
RI,2024,1940.973029268622
SC,2018,1068.1532956592657
SC,2019,1083.0670109544
SC,2020,1126.715007250571
SC,2021,1246.3636657135605
SC,2022,1385.5431167452555
SC,2023,1414.7288835698791
SC,2024,1423.1725776561996
SD,2018,882.0750737028985
SD,2019,896.0567211576549
SD,2020,926.5121322333994
SD,2021,1013.1473311363188
SD,2022,1145.6340202932827
SD,2023,1183.7886760118452
SD,2024,1238.9676999409921
TN,2018,985.909775483087
TN,2019,1033.73598130696
TN,2020,1071.1598223527728
TN,2021,1144.4149413203534
TN,2022,1281.0739848777068
TN,2023,1329.7375059017238
TN,2024,1398.7068870979342
TX,2018,1063.1072017324925
TX,2019,1099.1465490143908
TX,2020,1112.5582863360871
TX,2021,1178.6739697979956
TX,2022,1281.8935708391473
TX,2023,1319.374589991341
TX,2024,1331.0006385695401
UT,2018,1190.3217644036763
UT,2019,1353.169919854477
UT,2020,1419.46340374489
UT,2021,1630.9137871798082
UT,2022,1704.7572123420016
UT,2023,1743.0403402327336
UT,2024,1775.6684787452446
VA,2018,1116.9745082425811
VA,2019,1160.8505350137893
VA,2020,1210.6460059069793
VA,2021,1307.1544651180004
VA,2022,1448.7817627414204
VA,2023,1427.502012105827
VA,2024,1500.899718540537
VT,2018,1505.574424288706
